,ID,Shrt_Desc,Carbohydrt_(g),Energ_Kcal,Lipid_Tot_(g),Cholestrl_(mg),Sodium_(mg),Protein_(g),Fiber_TD_(g),Sugar_Tot_(g)
1253,1253,"SOUP,TOMATO RICE,CND,COND",17.08,93,2.12,1.0,635.0,1.64,1.3,5.9
4995,4995,"PEAS,SPLIT,MATURE SEEDS,CKD,BLD,W/SALT",20.51,116,0.39,0.0,238.0,8.34,8.3,2.9
6487,6487,"CORN FLR,MASA,ENR,WHITE",76.59,363,3.69,0.0,5.0,8.46,6.4,1.61
1863,1863,"CEREALS RTE,POST,SHREDDED WHEAT,ORIGINAL SPOON-SIZE",81.4,351,2.1,0.0,2.0,11.8,12.4,0.9
188,188,"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",7.5,43,0.18,2.0,59.0,3.86,0.0,7.5
370,370,"BABYFOOD,DINNER,VEG&TURKEY,JR",7.55,53,1.74,4.0,45.0,1.72,0.9,1.36
1374,1374,"SOUP,HEALTHY CHOIC GARDEN VEG SOUP,CND",10.04,51,0.21,1.0,195.0,2.13,1.9,2.13
2908,2908,"CAULIFLOWER,CKD,BLD,DRND,WO/SALT",4.11,23,0.45,0.0,15.0,1.84,2.3,2.08
7324,7324,"BEEF,LOIN,TOP SIRLOIN CAP STEK,BNLS,LN,1/8"" FAT,ALL GRDS,RAW",0.0,134,5.36,67.0,55.0,21.38,0.0,0.0
3555,3555,"PICKLES,CUCUMBER,SOUR,LO NA",2.26,11,0.2,0.0,18.0,0.33,1.2,1.06
6430,6430,"ICE CREAMS,BREYERS,98% FAT FREE VANILLA",30.51,137,2.2,8.0,73.0,3.3,5.4,20.93
5537,5537,"LAMB,AUS,FRSH,LEG,HINDSHANK,HEEL ON,BONE-IN,LN,1/8"",BRSD",0.0,174,5.63,111.0,86.0,30.73,0.0,0.0
8244,8244,"YELLOW RICE W/ SEASONING,DRY PACKET MIX,UNPREP",74.68,343,1.75,0.0,1316.0,7.02,1.8,1.75
3430,3430,"PEAS,GRN,FRZ,CKD,BLD,DRND,W/SALT",14.26,78,0.27,0.0,323.0,5.15,4.5,4.4
7701,7701,"FORMULATE BAR,MAR SNACKFOO US,SNICKE MARATH CHE CHOC PNUT BA",47.24,396,13.12,4.0,462.0,24.29,2.5,32.86
4101,4101,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN & FAT,0"" FAT,SEL,RAW",0.0,157,7.68,65.0,53.0,20.64,0.0,0.0
740,740,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,W/ SALT",0.0,526,59.17,1.0,700.0,0.6,0.0,0.0
1220,1220,"SOUP,CHICK NOODLE,CND,COND",6.07,48,1.55,8.0,681.0,2.37,0.9,0.0
1849,1849,"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",11.67,68,1.36,0.0,49.0,2.37,1.7,0.46
6344,6344,"FROSTINGS,GLAZE,PREPARED-FROM-RECIPE",83.65,341,0.53,1.0,6.0,0.44,0.0,80.44
4053,4053,"BEEF,RND,TOP RND,STEAK,LN & FAT,1/8"" FAT,PRIME,CKD,BRLD",0.0,225,10.1,84.0,61.0,31.27,0.0,0.0
6760,6760,"MCDONALD'S, CHEESEBURGER",27.81,263,11.79,35.0,626.0,12.97,1.1,6.22
1959,1959,"CEREALS,QUAKER,INST GRITS,REDEYE GRVY COUNTRY HAM FLAVOR,DRY",75.86,342,1.58,0.0,1805.0,9.83,4.6,0.71
5179,5179,"LAMB,NZ,IMP,RACK - PARTLY FRENCHED,LN & FAT,CKD,FAST RSTD",0.04,253,18.29,76.0,69.0,22.06,0.0,0.0
2533,2533,"PORK,FRSH,LOIN,SIRLOIN (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",0.0,230,12.87,89.0,57.0,26.64,0.0,0.0
4314,4314,"BEVERAGES,OCEAN SPRAY,LT CRANBERRY",4.72,19,0.01,0.0,15.0,0.22,0.7,3.97
4893,4893,"USDA CMDTY,PNUT BUTTER,SMOOTH",23.98,588,49.54,0.0,476.0,21.93,5.7,6.5
4894,4894,"SOYMILK,CHOC,W/ ADDED CA,VITAMINS A & D",9.95,63,1.53,0.0,53.0,2.26,0.4,7.86
7274,7274,"BEEF,RIB,BACK RIBS,BONE-IN,LN,0"" FAT,SEL,CKD,BRSD",0.0,287,18.84,89.0,68.0,29.28,0.0,0.0
598,598,"INF FORMULA, ABB NUTR, SIMIL, ISOMIL, ADVA W/ IRON,LIQ CONC",13.21,128,6.98,0.0,56.0,3.13,0.0,13.1
2888,2888,"CABBAGE,CKD,BLD,DRND,WO/SALT",5.51,23,0.06,0.0,8.0,1.27,1.9,2.79
3892,3892,"BEEF,LOIN,TOP LOIN STK,BNLS,LIP OFF,LN,0"" FAT,CHOIC,CKD,GRLD",0.0,211,9.52,87.0,59.0,29.22,0.0,0.0
6415,6415,"POTATO CHIPS,WO/SALT,RED FAT",67.8,487,20.8,0.0,8.0,7.1,6.1,0.22
2596,2596,"PORK,CURED,BACON,UNPREP",1.28,417,39.69,66.0,662.0,12.62,0.0,1.0
2910,2910,"CAULIFLOWER,FRZ,CKD,BLD,DRND,WO/SALT",3.75,19,0.22,0.0,18.0,1.61,2.7,1.05
8566,8566,"IMITATION CHS,AMERICAN OR CHEDDAR,LO CHOL",1.0,390,32.0,15.0,670.0,25.0,0.0,1.0
4335,4335,"BEVERAGES,MOTTS,APPL JUC LT,FORT W/ VIT C",5.1,22,0.1,0.0,13.0,0.0,0.0,4.8
8741,8741,"BEANS,BKD,CND,NO SALT ADDED",20.49,105,0.4,0.0,1.0,4.8,5.5,7.78
8596,8596,"PORK SAUSAGE RICE LINKS,BROWN&SERVE,CKD",2.36,407,37.63,66.0,689.0,13.7,0.0,0.0
8670,8670,"RADISHES,HAWAIIAN STYLE,PICKLED",5.2,28,0.3,0.0,789.0,1.1,2.2,2.0
2689,2689,"PORK,FRSH,LN,TPLN(CHPS),BNLS,LN & FT,W/ADDED SLN,CKD,PN-BRLD",0.0,190,7.66,75.0,205.0,28.35,0.0,0.0
4493,4493,"CAVIAR,BLACK&RED,GRANULAR",4.0,264,17.9,588.0,1500.0,24.6,0.0,0.0
4628,4628,"SHRIMP,MXD SP,CKD,BREADED&FRIED",11.47,242,12.28,138.0,344.0,21.39,0.4,0.8
249,249,"ICE CRM,LOWFAT,NO SUGAR ADDED,CONE,ADDED PNUTS & CHOC SAU",40.01,265,9.33,7.0,113.0,5.33,9.3,10.67
1792,1792,"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",88.0,375,3.4,0.0,469.0,5.3,9.3,41.7
7739,7739,"SNACKS,NUTRI-GRAIN FRUIT & NUT BAR",66.72,403,10.93,0.0,195.0,9.38,7.5,32.45
2637,2637,"PORK,FRSH,COMP (LEG,LOIN,SHLDR,&SPARERIBS),LN&FAT,CKD",0.0,238,13.89,88.0,57.0,26.36,0.0,0.0
4023,4023,"BEEF,RND,BTTM RND,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRSD",0.0,254,12.56,101.0,42.0,32.85,0.0,0.0
1197,1197,"TURKEY,RTL PARTS,THIGH,MEAT & SKN,CKD,RSTD",0.41,183,9.5,116.0,101.0,23.95,0.0,0.0
7912,7912,"KEEBLER,HOLIDAY JINGLES COOKIES",73.9,470,17.4,0.0,380.0,5.0,1.5,28.2
7081,7081,"MACARONI & CHS,FRZ ENTREE",17.28,149,6.41,10.0,290.0,5.6,1.1,1.53
6781,6781,"BURGER KING,DOUBLE WHOPPER,W/ CHS",13.52,266,17.06,47.0,387.0,14.47,1.6,3.61
1258,1258,"SOUP,VEG BF,CND,COND",8.11,63,1.51,4.0,706.0,4.45,1.6,0.89
6150,6150,"CANDIES,NESTLE,OH HENRY! BAR",65.5,462,23.0,7.0,193.0,7.7,1.9,46.2
3018,3018,"MUSTARD GRNS,CKD,BLD,DRND,WO/SALT",4.51,26,0.47,0.0,9.0,2.56,2.0,1.41
1594,1594,"SAUCE,WORCESTERSHIRE",19.46,78,0.0,0.0,980.0,0.0,0.0,10.03
4609,4609,"WHITEFISH,MXD SP,SMOKED",0.0,108,0.93,33.0,1019.0,23.4,0.0,0.0
3888,3888,"BEEF,LOIN,TOPLOINSTK,BNLS,LIPOFF,LN FT,0"" FT,ALLGRD,CKD,GRLD",0.0,223,11.15,81.0,59.0,28.57,0.0,0.0
8742,8742,"FROZEN NOVELTIES,JUC TYPE,JUC W/ CRM",24.11,115,1.41,7.0,42.0,1.41,0.1,20.61
2350,2350,"PLANTAINS,RAW",31.89,122,0.37,0.0,4.0,1.3,2.3,15.0
1719,1719,BACON & BF STKS,0.8,517,44.2,102.0,1420.0,29.1,0.0,0.8
2845,2845,"MUNG BNS,MATURE SEEDS,SPROUTED,RAW",5.94,30,0.18,0.0,6.0,3.04,1.8,4.13
471,471,"BABYFOOD,CHERRY COBBLER,JR",19.2,78,0.1,0.0,0.0,0.3,0.2,10.39
6737,6737,"FAST FOODS,SUBMARINE SNDWCH,TRKY BRST WHT BRD LTTC & TMT",22.42,147,2.31,10.0,317.0,9.12,1.3,3.09
2161,2161,"BLACKBERRY JUC,CND",7.8,38,0.6,0.0,1.0,0.3,0.1,7.7
835,835,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RSTD",0.0,190,7.41,89.0,86.0,28.93,0.0,0.0
6054,6054,"SNACKS,CORN-BASED,EXTRUDED,ONION-FLAVOR",65.1,499,22.6,0.0,950.0,7.7,3.9,4.83
6588,6588,"WHEAT,KAMUT KHORASAN,CKD",27.6,132,0.83,0.0,8.0,5.71,4.3,3.07
7934,7934,"KEEBLER,SOFT BATCH,CHOC CHIP COOKIES",66.2,477,22.1,0.0,350.0,3.6,1.7,36.9
2156,2156,"AVOCADOS,RAW,CALIFORNIA",8.64,167,15.41,0.0,8.0,1.96,6.8,0.3
3982,3982,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,CHOIC,CKD,RSTD",0.0,365,29.79,84.0,64.0,22.6,0.0,0.0
8513,8513,"RESTAURANT,MEXICAN,SOFT TACO W/ GROUND BF,CHS & LETTUCE",17.92,219,10.81,34.0,509.0,12.56,1.5,2.39
7805,7805,"SAUCE,HORSERADISH",10.05,503,50.89,50.0,730.0,1.09,1.0,8.98
3047,3047,"PEAS,EDIBLE-PODDED,RAW",7.55,42,0.2,0.0,4.0,2.8,2.6,4.0
5483,5483,"LAMB,NZ,IMP,LOIN SADDLE,LN,CKD,FAST RSTD",0.0,162,6.7,78.0,76.0,25.53,0.0,0.0
5048,5048,"WORTHINGTON SMOKED TURKEY ROLL,FRZ,UNPREP",7.9,251,16.1,0.0,859.0,18.5,1.1,2.4
2288,2288,"ORANGE JUICE,RAW",10.4,45,0.2,0.0,1.0,0.7,0.2,8.4
6612,6612,"RICE,WHITE,LONG-GRAIN,REG,RAW,UNENR",79.95,365,0.66,0.0,5.0,7.13,1.3,0.12
5590,5590,"BREAD,OAT BRAN",39.8,236,4.4,0.0,353.0,10.4,4.5,7.7
6753,6753,"PIZZA,CHS TOPPING,RISING CRUST,FRZ,CKD",32.91,260,8.78,16.0,556.0,12.37,2.5,5.09
5608,5608,"BREAD,RYE",48.3,259,3.3,0.0,603.0,8.5,5.8,3.85
5029,5029,"WORTHINGTON DICED CHIK,CND,UNPREP",3.7,80,0.7,1.0,344.0,14.7,1.4,0.1
4348,4348,"BEVERAGES,MALTED DRK MIX,NAT,PDR,DAIRY BASED.",71.21,428,9.52,24.0,405.0,14.29,0.1,47.62
3436,3436,"PEPPERS,HOT CHILI,RED,CND,EXCLUDING SEEDS,SOL&LIQUIDS",5.1,21,0.1,0.0,1173.0,0.9,1.3,3.32
1696,1696,"OSCAR MAYER,SALAMI (HARD)",1.6,368,28.7,97.0,1976.0,25.9,0.0,0.2
2669,2669,"PORK,FRSH,LOIN,TENDERLOIN,LN&FAT,CKD,RSTD",0.0,147,3.96,73.0,57.0,26.04,0.0,0.0
6106,6106,"CANDIES,CAROB,UNSWTND",56.29,540,31.36,1.0,107.0,8.15,3.8,34.11
3407,3407,"KALE,FRZ,CKD,BLD,DRND,W/SALT",5.23,30,0.49,0.0,251.0,2.84,2.0,1.34
6544,6544,"WHEAT FLR,WHITE,ALL-PURPOSE,SELF-RISING,ENR",74.22,354,0.97,0.0,1193.0,9.89,2.7,0.22
1535,1535,"PACE,PICANTE SAU",6.25,25,0.0,0.0,781.0,0.0,3.1,6.25
709,709,"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
1132,1132,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT & SKN,CKD,BRSD",0.0,229,15.43,139.0,76.0,22.57,0.0,0.0
2792,2792,"PORK,GROUND,72% LN / 28% FAT,CKD,CRUMBLES",1.39,393,32.93,100.0,94.0,22.83,0.0,0.0
1816,1816,"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",89.7,387,1.3,0.0,357.0,4.8,8.4,31.3
7469,7469,"BEEF,LN,TP LN STK,BNLESS,LIPON,L & F,1/8"" FAT,CHOIC,GRILLED",0.0,275,19.19,81.0,54.0,25.69,0.0,0.0
509,509,"BABYFOOD,CRL,MXD,PREP W/WHL MILK",12.3,96,3.38,9.0,42.0,4.14,0.8,4.78
7498,7498,"BEEF,NZ,IMP,INTERMUSCULAR FAT,RAW",0.01,602,63.78,104.0,32.0,6.97,0.0,0.0
4298,4298,"BEVERAGES,CRANBERRY-APPLE JUC DRK,BTLD",15.85,63,0.11,0.0,2.0,0.0,0.0,14.5
2025,2025,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL",83.3,410,7.3,0.0,385.0,5.69,3.9,41.59
4327,4327,"BEVERAGES,GRAPE DRK,CND",15.72,61,0.0,0.0,16.0,0.0,0.0,13.06
6875,6875,MCDONALD'S BACON RANCH SALAD W/ CRISPY CHICK,6.08,122,6.3,22.0,273.0,8.82,1.0,1.53
7413,7413,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN & FT,0"" FAT,ALL GRDS,RAW",0.0,124,3.48,60.0,53.0,23.26,0.0,0.0
918,918,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,RAW",0.0,121,4.12,94.0,95.0,19.66,0.0,0.0
1061,1061,"USDA CMDTY CHICK,CND,MEAT ONLY,DRND",0.0,162,5.72,83.0,271.0,27.52,0.0,0.0
1674,1674,"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD",10.92,204,10.3,58.0,721.0,17.0,0.3,0.0
7496,7496,"BEEF,NZ,IMP,INSIDE,RAW",0.1,128,4.36,55.0,40.0,22.16,0.0,0.0
7207,7207,"BEEF,CHUCK,UNDER BLADE STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,CK",0.0,284,19.3,98.0,64.0,27.6,0.0,0.0
7223,7223,"BEEF,SHLDR POT RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,BRSD",0.0,200,8.41,98.0,62.0,31.18,0.0,0.0
1154,1154,"TURKEY,SKN FROM WHL,(LIGHT & DARK),W/ ADDED SOLN,RSTD",0.0,451,40.31,144.0,234.0,22.15,0.0,0.0
3387,3387,"CORN,SWT,YEL,CKD,BLD,DRND,W/SALT",20.98,96,1.5,0.0,253.0,3.41,2.4,4.54
4989,4989,"LIMA BNS,LRG,MATURE SEEDS,CKD,BLD,W/SALT",20.88,115,0.38,0.0,238.0,7.8,7.0,2.9
5203,5203,"VEAL,LOIN,LN&FAT,CKD,BRSD",0.0,284,17.21,118.0,80.0,30.19,0.0,0.0
535,535,"INF FORMULA. MEAD JOHNSON, PREGESTIMIL, W/IRON, PDR,NO RECON",52.8,519,28.0,2.0,240.0,14.0,0.0,51.0
3604,3604,"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",3.87,22,0.35,0.0,9.0,2.11,1.3,2.5
1221,1221,"SOUP,CHICK RICE,CND,CHUNKY,RTS",5.41,53,1.33,5.0,370.0,5.11,0.4,0.6
921,921,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,STWD",0.0,195,9.79,90.0,75.0,25.0,0.0,0.0
7634,7634,"BEEF,RND,EYE OF RND,RST,LN,1/8"" FAT,SEL,CKD,RSTD",0.0,163,4.11,75.0,39.0,29.59,0.0,0.0
4132,4132,"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",22.66,174,1.88,0.0,6.0,0.42,0.3,22.33
7555,7555,"BEEF,GROUND,97% LN MEAT / 3% FAT,RAW",0.0,121,3.0,60.0,66.0,21.98,0.0,0.0
644,644,"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",27.6,141,4.0,6.0,868.0,0.5,0.3,21.87
3554,3554,"PICKLE RELISH,SWEET",35.06,130,0.47,0.0,811.0,0.37,1.1,29.13
7841,7841,"GIRL SCOUTS,TAGALONGS COOKIES",52.2,558,35.3,0.0,371.0,8.1,3.5,30.9
849,849,"CHICKEN,LIVER,ALL CLASSES,RAW",0.73,119,4.83,345.0,71.0,16.92,0.0,0.0
8581,8581,"VEGETABLE OIL-BUTTER SPRD,RED CAL",0.0,465,53.0,54.0,581.0,0.0,0.0,0.0
5545,5545,"LAMB,AUS,FRSH,RACK,RST,FRENCHED,BONE-IN,LN,1/8"" FAT,CKD,RSTD",0.0,244,14.64,96.0,67.0,28.01,0.0,0.0
2125,2125,"APPLES,CND,SWTND,SLICED,DRND,UNHTD",16.7,67,0.49,0.0,3.0,0.18,1.7,15.0
3499,3499,"TOMATO PRODUCTS,CND,PUREE,W/SALT",8.98,38,0.21,0.0,202.0,1.65,1.9,4.83
4080,4080,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,RAW",0.0,201,12.71,75.0,52.0,20.3,0.0,0.0
7545,7545,"BEEF,NZ,IMP,RUMP CENTRE,LN & FAT,RAW",0.0,145,6.5,55.0,49.0,21.65,0.0,0.0
6463,6463,"SYRUPS,CHOC,HERSHEY'S SUGAR FREE,GENUINE CHOC FLAV,LITE SYRU",14.2,43,2.03,0.0,343.0,2.87,2.9,0.27
3742,3742,"BEEF,GRASS-FED,STRIP STEAKS,LN,RAW",0.0,117,2.69,55.0,55.0,23.07,0.0,0.0
7466,7466,"Beef, ln, top ln stk, bneless lip-on, 1/8"" fat all grdes raw",0.0,143,5.67,60.0,46.0,23.07,0.0,0.0
1419,1419,"CAMPBELL'S,TOMATO SOUP,COND",15.22,71,0.44,0.0,377.0,1.46,1.1,8.23
3133,3133,"POTATOES,FRENCH FR,STK FRIES,SALT ADDED IN PROC,FRZ,OVEN-HTD",26.98,152,3.76,0.0,373.0,2.57,2.6,0.25
7162,7162,"BEEF,CHUCK EYE COUNTRY-STYLE RIBS,BNLESS,LN,0"" FAT,CHOIC,RAW",0.0,152,7.67,70.0,81.0,20.87,0.0,0.0
1393,1393,"CAMPBELL'S,CRM OF CHICK SOUP,COND",6.03,103,7.98,9.0,624.0,1.76,4.1,0.33
2201,2201,"FIGS,CND,H2O PK,SOL&LIQUIDS",13.99,53,0.1,0.0,1.0,0.4,2.2,11.79
2470,2470,"CRANBERRY JUC BLEND,100% JUC,BTLD,W/ ADDED VIT C & CA",10.91,45,0.12,0.0,6.0,0.27,0.1,9.8
8663,8663,"CHICKEN,MEATLESS",3.64,224,12.73,0.0,709.0,23.64,3.6,0.0
4397,4397,"CRANBERRY JUC COCKTAIL,FRZ CONC",51.45,201,0.0,0.0,4.0,0.05,0.2,42.5
3360,3360,"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",5.35,28,0.12,0.0,260.0,3.1,3.0,1.47
7026,7026,"HOT POCKETS,CROISSANT POCKTS CHIK,BROC&CHDR STUFD SNDWCH,FRZ",30.4,235,8.6,29.0,346.0,8.9,1.1,7.6
7956,7956,"KEEBLER,VANILLA WAFERS MINIS,RAINBOW",72.3,466,18.3,1.0,400.0,4.0,1.3,31.1
7436,7436,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,SEL,RAW",0.0,116,2.45,63.0,55.0,23.59,0.0,0.0
10,10,"CHEESE,COLBY",2.57,394,32.11,95.0,604.0,23.76,0.0,0.52
4753,4753,"BEANS,BLACK,MATURE SEEDS,CKD,BLD,WO/SALT",23.71,132,0.54,0.0,1.0,8.86,8.7,0.32
4994,4994,"MUNGO BNS,MATURE SEEDS,CKD,BLD,W/SALT",18.34,105,0.55,0.0,243.0,7.54,6.4,2.01
8113,8113,"COOKIES,SUGAR WAFER,CHOCOLATE-COVERED",65.99,526,27.59,0.0,138.0,3.45,3.4,51.72
237,237,"MILK,CND,EVAP,WO/ VIT A",15.74,107,2.0,0.0,100.0,6.67,0.0,6.67
588,588,"INF FORMULA, MEAD JOHNS, ENFAMI, AR LIPIL, RTF,W/ ARA & DHA",7.53,68,3.49,1.0,27.0,1.71,0.0,6.44
8101,8101,"COOKIES,CHOC SNDWCH,W/ CREME FILLING,RED FAT",76.17,436,13.24,0.0,471.0,2.94,2.9,41.18
660,660,"OIL,PALM",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
5595,5595,"BREAD,PITA,WHOLE-WHEAT",55.89,262,1.71,0.0,527.0,9.8,6.1,2.87
759,759,"SALAD DRSNG,MAYO,LT",9.23,238,22.22,16.0,827.0,0.37,0.0,3.56
4125,4125,"ALCOHOLIC BEV,BEER,LT",1.64,29,0.0,0.0,4.0,0.24,0.0,0.09
7726,7726,"SNACKS,GRANOLA BAR,KASHI GOLEAN,CHEWY,MXD FLAVORS",63.42,390,7.69,6.0,321.0,16.67,7.7,42.31
8487,8487,"RESTAURANT,FAMILY STYLE,COLESLAW",12.35,159,11.78,8.0,221.0,0.88,1.9,9.54
7744,7744,"Snack,gran bar,GENERAL MILLS, NATURE VALLEY, w yogu coati",74.29,423,11.43,0.0,271.0,5.71,4.4,40.0
2794,2794,"PORK,GROUND,96% LN / 4% FAT,CKD,CRUMBLES",0.0,187,7.15,78.0,84.0,30.55,0.0,0.0
1074,1074,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O",0.02,233,15.7,132.0,345.0,22.93,0.0,0.02
7116,7116,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",0.0,223,15.18,62.0,40.0,20.11,0.0,0.0
680,680,"OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
6425,6425,"FROZEN NOVELTIES,NO SUGAR ADDED,FUDGSICLE POPS",23.11,124,1.87,2.0,96.0,3.67,1.5,5.1
4945,4945,SILK ORIGINAL CREAMER,6.67,100,6.67,0.0,67.0,0.0,0.0,0.0
4241,4241,"BEVERAGES,APPL JUC DRK,LT,FORT W/ VIT C",5.1,22,0.1,0.0,13.0,0.0,0.0,4.8
6892,6892,"FAST FOODS,CHESEBRGER; SING,LRG PATY; W/ CONDMNT,VEG & MAYO",17.73,268,15.8,51.0,473.0,13.69,1.1,4.5
1788,1788,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",70.3,395,14.1,0.0,280.0,9.2,12.7,28.0
4569,4569,"SARDINE,ATLANTIC,CND IN OIL,DRND SOL W/BONE",0.0,208,11.45,142.0,307.0,24.62,0.0,0.0
7907,7907,"KEEBLER,GRIPZ,CHIPS DELUXE,RAINBOW CHOC CHIP COOKIES,BITE-SI",74.3,470,17.7,0.0,383.0,4.7,1.8,33.5
6407,6407,"SNACKS,PRETZELS,HARD,PLN,MADE W/ ENR FLR,UNSALTED",79.2,381,3.5,0.0,250.0,9.1,2.8,2.21
1037,1037,"GROUND TURKEY,RAW",0.0,148,7.66,69.0,58.0,19.66,0.0,0.0
1256,1256,"SOUP,VEGETARIAN VEG,CND,COND",9.78,59,1.58,0.0,516.0,1.72,0.5,3.13
661,661,"OIL,SESAME,SALAD OR COOKING",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
7241,7241,"BEEF,RIB EYE STEAK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",0.0,173,9.97,65.0,65.0,20.93,0.0,0.0
2462,2462,"FRUIT JUC SMOOTHIE,ODWALLA,ORIGINAL SUPERFOOD",11.51,50,0.36,0.0,3.0,0.63,0.6,10.16
