,ID,Shrt_Desc,Carbohydrt_(g),Energ_Kcal,Lipid_Tot_(g),Cholestrl_(mg),Sodium_(mg),Protein_(g),Fiber_TD_(g),Sugar_Tot_(g)
4209,4209,"BEVERAGES,CARB,CLUB SODA",0.0,0,0.0,0.0,21.0,0.0,0.0,0.0
5979,5979,"CRACKERS,CHS,SANDWICH-TYPE W/ CHS FILLING",58.76,490,24.41,6.0,878.0,8.92,1.9,12.33
7094,7094,"KASHI,CHICK FLORENTINE,FRZ ENTREE",11.0,106,3.4,16.0,194.0,7.9,1.8,0.5
1123,1123,"GROUND TURKEY,85% LN,15% FAT,RAW",0.0,180,12.54,78.0,54.0,16.9,0.0,0.0
7898,7898,"KEEBLER,FUDGE SHOPPE,GRASSHOPPER COOKIES,FUDGE MINT",68.3,499,23.7,1.0,266.0,4.0,2.4,39.7
7732,7732,"SNACKS,GRANOLA BARS,SOFT,ALMOND,CONFECTIONERS COATING",60.13,455,20.0,0.0,486.0,8.6,4.3,34.0
6480,6480,"BUCKWHEAT GROATS,RSTD,CKD",19.94,92,0.62,0.0,4.0,3.38,2.7,0.9
7935,7935,"KEEBLER,SWT CREMES COOKIES",71.0,469,19.3,0.0,267.0,4.5,1.3,32.0
6808,6808,"PAPA JOHN'S 14"" CHS PIZZA,ORIGINAL CRUST",32.74,260,9.25,19.0,578.0,11.53,1.9,5.32
8589,8589,"MAYONNAISE,MADE WITH TOFU",3.06,322,31.79,0.0,773.0,5.95,1.1,0.85
353,353,"BABYFOOD,DINNER,VEG&HAM,STR",7.8,59,2.14,5.0,16.0,2.19,1.6,1.37
6088,6088,"SNACKS,M&M MARS,COMBOS SNACKS CHEDDAR CHS PRETZEL",66.5,463,16.92,5.0,1117.0,9.85,3.6,17.6
166,166,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,11.8,222,10.6,42.0,1586.0,19.6,0.0,8.5
1951,1951,"CEREALS RTE,KASHI GOLEAN",67.19,311,2.2,0.0,177.0,24.89,20.1,16.5
7953,7953,"KEEBLER,TOWN HOUSE,FLATBREAD CRISPS,SEA SALT & OLIVE OIL CRA",72.8,443,14.0,0.0,942.0,8.0,3.6,5.2
8681,8681,"SWEETENERS,TABLETOP,FRUCTOSE,DRY,PDR",100.0,368,0.0,0.0,12.0,0.0,0.0,92.7
7668,7668,"BEEF,TOP SIRLOIN,STEAK,LN,1/8"" FAT,CHOIC,RAW",0.0,135,4.62,61.0,57.0,21.91,0.0,0.0
7134,7134,"BF,CHK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,SEL,CKD,GRILLED",0.0,212,11.52,83.0,76.0,25.29,0.0,0.0
7826,7826,"KELLOGG'S,EGGO,NUTRI-GRAIN,WAFFLES,BLUEBERRY",43.6,257,7.8,0.0,527.0,6.2,3.9,10.0
4654,4654,"WHELK,UNSPECIFIED,RAW",7.76,137,0.4,65.0,206.0,23.84,0.0,0.0
1454,1454,"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",4.77,30,0.86,1.0,226.0,0.85,0.6,1.32
2649,2649,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN,CKD,PAN-FRIED",0.0,224,11.8,70.0,52.0,27.68,0.0,0.0
105,105,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.04,63,1.55,6.0,70.0,5.25,0.0,7.04
686,686,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING",0.0,900,100.0,0.0,0.0,0.0,0.0,0.0
1891,1891,"CEREALS RTE,QUAKER,TSTD MULTIGRAIN CRISPS",74.9,372,5.11,0.0,365.0,12.38,10.2,16.34
2523,2523,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRSD",0.0,261,16.28,79.0,70.0,26.66,0.0,0.0
5655,5655,"CAKE,SPONGE,COMMLY PREP",61.0,290,2.7,102.0,623.0,5.4,0.5,36.66
3471,3471,"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,W/SALT",4.31,20,0.31,0.0,237.0,0.91,1.4,2.59
2569,2569,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BNLESS,LN,RAW",0.0,123,3.09,56.0,87.0,23.75,0.0,0.0
3770,3770,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,1/8"" FAT,CHOIC,RAW",0.0,161,7.39,59.0,56.0,22.13,0.0,0.0
8521,8521,"RESTAURANT,LATINO,PUPUSAS CON QUESO (PUPUSAS,CHEESE)",22.39,256,13.25,32.0,400.0,11.72,2.9,1.2
7913,7913,"KEEBLER,ICED OATMEAL COOKIES",69.5,467,18.3,0.0,297.0,6.5,4.1,35.6
1962,1962,"CEREALS,QUAKER,QUICK OATS W/ IRON,DRY",68.18,371,6.87,0.0,3.0,13.7,9.4,1.42
1383,1383,"GRAVY,CAMPBELL'S,CHICK,MICROWAVABLE",5.0,67,5.0,8.0,433.0,0.0,0.0,1.67
341,341,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",9.4,59,1.1,4.0,35.0,2.5,1.1,2.43
3615,3615,"PUMPKIN&SQUASH SD KRNLS,DRIED",10.71,559,49.05,0.0,7.0,30.23,6.0,1.4
3805,3805,"BEEF,CURED,BRKFST STRIPS,CKD",1.4,449,34.4,119.0,2253.0,31.3,0.0,0.0
389,389,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",16.3,60,0.0,0.0,0.0,0.3,1.5,1.41
1145,1145,"CHICKEN,DK MEAT,THIGH,MEAT & SKN,W/ ADDED SOLN,CKD,BRSD",0.21,215,14.62,125.0,185.0,20.7,0.0,0.0
6891,6891,"FAST FOODS,CHEESEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT",14.43,272,16.22,57.0,480.0,16.96,1.0,3.49
5830,5830,"ROLLS, DINNER, PLN,COMM PREPARED (INC BROWN -N- SERVE)",52.04,310,6.47,4.0,467.0,10.86,2.0,5.55
2200,2200,"FIGS,RAW",19.18,74,0.3,0.0,1.0,0.75,2.9,16.26
4085,4085,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,SEL,RAW",0.0,189,11.13,72.0,53.0,20.68,0.0,0.0
5027,5027,"WORTHINGTON CHILI,CND,UNPREP",10.9,126,4.5,0.0,453.0,10.4,3.4,1.3
7780,7780,"SOUP,RAMEN NOODLE,DRY,ANY FLAVOR,RED FAT,RED NA",70.95,350,2.5,0.0,1200.0,10.89,2.7,0.85
5098,5098,"VEAL,AUSTRALIAN,RIB,RIB RST,LN,RAW",1.4,134,4.63,58.0,83.0,21.7,0.0,0.0
4477,4477,"BEV,FRUIT FLAV DRK,RED SUGAR, > 3% FRUIT JUC,HI VIT C,ADD CA",6.67,29,0.37,0.0,25.0,0.0,0.0,5.0
7763,7763,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUES",8.16,53,1.22,4.0,167.0,2.04,0.8,0.82
8384,8384,"FISH,SALMON,KING (CHINOOK),RAW (ALASKA NATIVE)",0.0,187,11.73,61.0,48.0,20.25,0.0,0.0
5076,5076,"WORTHINGTON LEANIES,FRZ,UNPREP",6.1,251,16.5,3.0,1078.0,19.5,3.8,1.2
4078,4078,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,PRIME,CKD,BRLD",0.0,308,22.21,86.0,59.0,25.26,0.0,0.0
4917,4917,"SOYMILK (ALL FLAVORS),LOWFAT,W/ ADDED CA,VITAMINS A & D",7.2,43,0.62,0.0,37.0,1.65,0.8,3.5
2203,2203,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS",22.9,88,0.1,0.0,1.0,0.38,2.2,20.7
1519,1519,"CAMPBELL'S SOUP ON THE GO,VEG W/ MINI RND NOODLES SOUP",6.89,33,0.16,2.0,213.0,0.66,0.3,4.59
583,583,"INF FORM,PBM PROD,STORE BRAND,LC,NOT REC (FORM WYETH-AYERST)",13.9,130,7.0,8.0,29.0,2.9,0.0,13.9
3682,3682,"PECANS,OIL RSTD,WO/SALT",13.01,715,75.23,0.0,1.0,9.2,9.5,3.97
2619,2619,"PORK,CURED,SHLDR,ARM PICNIC,LN,RSTD",0.0,170,7.04,48.0,1231.0,24.94,0.0,0.0
7108,7108,"KASHI,TUSCAN VEGGIE BAKE,FRZ ENTREE",15.0,90,3.2,0.0,245.0,2.0,2.9,3.0
2601,2601,"PORK,CURED,HAM,BNLESS,REG (APPROX 11% FAT),RSTD",0.0,178,9.02,59.0,1500.0,22.62,0.0,0.0
8656,8656,"BEVERAGE,MILKSHAKE MIX,DRY,NOT CHOC",52.9,329,2.6,14.0,780.0,23.5,1.6,51.3
584,584,"INF FORMULA,PBM PRODUCTS,STORE BRAND,PDR",56.0,524,28.0,32.0,118.0,12.0,0.0,56.0
2091,2091,"CEREALS RTE,CASCADIAN FARM,HONEY NUT O'S",83.09,371,3.29,0.0,572.0,8.3,8.5,24.79
4181,4181,"BEVERAGES,CHOC MALT,PDR,PREP W/ FAT FREE MILK",8.64,49,0.17,2.0,77.0,3.25,0.0,7.77
7420,7420,"BEEF,LOIN,TOP LOIN STK,BNLS,LIP OFF,LN & FAT,0"" FT,CHOIC,RAW",0.0,171,9.16,59.0,45.0,22.19,0.0,0.0
6976,6976,"PIZZA HUT 14"" SAUSAGE PIZZA,HAND-TOSSED CRUST",29.39,287,13.5,26.0,671.0,11.92,2.3,2.72
4324,4324,"BEVERAGES,FRUIT PUNCH DRK,FRZ CONC,PREP W/ H2O",11.66,46,0.0,0.0,5.0,0.06,0.1,0.0
5090,5090,"MORNINGSTAR FARMS PARMESAN GARLIC WINGS,FRZ,UNPREP",24.1,227,8.6,1.0,616.0,14.2,3.1,1.3
1043,1043,"CHICKEN,CANNED,NO BROTH",0.9,185,8.1,50.0,482.0,25.3,0.0,0.0
6122,6122,"ICE CREAMS,FRENCH VANILLA,SOFT-SERVE",22.2,222,13.0,91.0,61.0,4.1,0.7,21.16
6041,6041,"BEAR NAKED,DOUBLE CHOC COOKIES",66.9,423,16.9,0.0,200.0,6.6,7.0,35.2
7327,7327,"BEEF,TOP LOIN FILET,BNLESS,LN,1/8"" FAT,ALL GRDS,CKD,GRILLED",0.3,195,8.54,86.0,63.0,29.33,0.0,0.0
6203,6203,"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,PREP W/ H2O",4.22,20,0.0,0.0,48.0,0.83,0.0,0.0
1250,1250,"CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND",7.94,48,0.79,4.0,690.0,1.59,0.8,1.59
7008,7008,"SCHOOL LUNCH,PIZZA,PEPP TOPPING,THICK CRUST,WHL GRN,FRZ,CKD",28.3,259,9.82,24.0,474.0,14.35,4.3,4.03
5622,5622,"BREAD STICKS,PLAIN",68.4,412,9.5,0.0,713.0,12.0,3.0,1.26
2293,2293,"ORANGE JUC,FRZ CONC,UNSWTND,DIL W/ 3 VOLUME H2O,W/ ADDED CA",8.47,37,0.06,0.0,4.0,0.6,0.2,7.42
7129,7129,"BF,CHUCK,SHLDR CLOD, TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,RAW",0.0,140,5.51,58.0,58.0,21.13,0.0,0.0
575,575,"INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,RTF",7.17,65,3.3,0.0,23.0,1.63,0.0,5.69
6468,6468,"CANDIES,TAMARIND",91.96,368,0.0,0.0,1643.0,0.0,2.5,78.57
1336,1336,"PREGO PASTA,DICED ONION & GARLIC ITAL SAU,RTS",13.85,92,3.46,0.0,369.0,1.54,2.3,9.23
7212,7212,"BEEF,CHK,MOCK TEN STK,BNL,LN & FAT,0"" FAT,ALL GRDS, CKD",0.0,128,4.79,67.0,80.0,21.13,0.0,0.0
754,754,"SALAD DRSNG,1000 ISLAND DRSNG,FAT-FREE",29.27,132,1.45,5.0,788.0,0.55,3.3,16.83
6141,6141,"CANDIES,KIT KAT WAFER BAR",64.59,518,25.99,11.0,54.0,6.51,1.0,48.68
4764,4764,"BEANS,GREAT NORTHERN,MATURE SEEDS,CND",21.02,114,0.39,0.0,370.0,7.37,4.9,1.41
2030,2030,"CEREALS RTE,GENERAL MILLS,CHEERIOS,CHOC",83.5,380,5.09,0.0,556.0,5.8,6.2,34.09
7728,7728,"SNACKS,GRANOLA BAR,KASHI GOLEAN,CRUNCHY,MXD FLAVORS",59.58,393,9.23,0.0,486.0,17.88,5.9,27.3
1475,1475,"CAMPBELL'S CHUNKY SOUPS,GRILLED STEAK- STEAK CHILI W/ BNS",11.02,81,1.22,6.0,355.0,6.53,2.9,3.67
4265,4265,"BEVERAGES,COCOA MIX,PDR,PREP W/ H2O",11.54,55,0.55,0.0,73.0,0.92,0.5,9.03
2709,2709,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN,HTD,RSTD",1.57,117,4.39,53.0,1193.0,17.99,0.0,1.57
2806,2806,"PORK,FRSH,BLADE,(CHOPS),BNLESS,LN & FAT,CKD,BRLD",0.83,202,11.13,77.0,58.0,24.73,0.0,0.0
4338,4338,"BEVERAGES,SNAPPLE,TEA,BLACK & GRN,READY TO DRK,PEACH,DIET",0.1,2,0.0,0.0,3.0,0.1,0.0,0.0
688,688,"OIL,WALNUT",0.0,884,100.0,0.0,0.0,0.0,0.0,0.0
5592,5592,"BREAD,OATMEAL",48.5,269,4.4,0.0,447.0,8.4,4.0,8.14
8652,8652,"CANDIES,HARD,DIETETIC OR LO CAL (SORBITOL)",98.6,394,0.0,0.0,0.0,0.0,0.0,0.0
8128,8128,"CRACKERS,WHL GRAIN,SANDWICH-TYPE,W/ PNUT BUTTER FILLING",54.59,465,21.18,0.0,635.0,14.12,9.4,9.41
3725,3725,"NUTS,ALMONDS,OIL RSTD,W/ SALT ADDED,SMOKE FLAVOR",17.86,607,55.89,0.0,548.0,21.43,10.7,3.57
4539,4539,"OCEAN PERCH,ATLANTIC,CKD,DRY HEAT",0.0,96,1.87,63.0,347.0,18.51,0.0,0.0
4885,4885,"TOFU,EX FIRM,PREP W/NIGARI",1.18,83,5.26,0.0,4.0,9.98,1.0,0.71
7247,7247,"BEEF,RIB EYE STEAK,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,CKD,GRLD",0.0,229,13.44,82.0,67.0,27.03,0.0,0.0
7911,7911,"KEEBLER,GINGERBREAD MEN COOKIES,HOLIDAY",77.9,444,12.8,0.0,420.0,4.9,2.1,32.9
1525,1525,"CAMPBELL'S SOUP ON THE GO,CREAMY TOMATO SOUP",9.84,59,1.64,2.0,213.0,0.98,0.7,7.21
5788,5788,"PANCAKES,PLN,DRY MIX,COMPLETE (INCL BTTRMLK)",73.65,368,3.1,2.0,1082.0,9.77,2.9,16.03
1255,1255,"SOUP,CHUNKY VEG,CND,RTS",7.9,39,0.36,0.0,267.0,1.14,1.1,1.56
2051,2051,"CEREALS RTE,GENERAL MILLS,COCOA PUFFS,25% RED SUGAR",82.69,380,5.19,0.0,528.0,6.5,6.7,25.79
3325,3325,"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",2.48,15,0.18,0.0,26.0,1.8,1.0,1.0
342,342,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",16.3,99,2.2,7.0,282.0,3.6,0.1,0.59
1700,1700,HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,3.78,243,11.52,123.0,1858.0,30.99,0.0,0.0
221,221,"CHEESE,CHEDDAR,NONFAT OR FAT FREE",7.14,157,0.0,18.0,1000.0,32.14,0.0,0.0
6168,6168,"CANDIES,TRUFFLES,PREPARED-FROM-RECIPE",44.88,510,33.76,53.0,68.0,6.21,2.5,38.31
7703,7703,"FORMULAT BAR,MARSNACKFOO US,SNICKE MARATHO DOUBL CHOC NUT BA",52.47,343,8.99,4.0,333.0,22.35,10.5,22.67
3912,3912,"BEEF,SHRT LOIN,T-BONE STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",0.0,230,14.0,59.0,68.0,24.38,0.0,0.0
3118,3118,"POTATOES,FRENCH FR,SHOESTRNG,SALT ADDED IN PROC,FRZ,OVEN-HTD",31.66,199,6.76,0.0,400.0,2.9,2.8,0.31
5445,5445,"GAME MEAT,DEER,TOP RND,LN,1"" STEAK,CKD,BRLD",0.0,152,1.92,85.0,45.0,31.47,0.0,0.0
1687,1687,"SAUSAGE,VIENNA,CND,CHICK,BF,PORK",2.6,230,19.4,87.0,879.0,10.5,0.0,0.0
5539,5539,"LAMB,AUS,IMP,FRSH,TENDERLOIN,BNLESS,LN,1/8"" FAT,CKD,RSTD",0.0,184,6.71,111.0,61.0,30.97,0.0,0.0
4253,4253,"BEVERAGES,COFFEE,READY TO DRK,MILK BSD,SWTND",12.6,71,1.38,5.0,26.0,1.98,0.0,10.67
7617,7617,"BEEF,GROUND,80% LN MEAT / 20% FAT,PATTY,CKD,PAN-BROILED",0.0,246,15.94,84.0,83.0,24.04,0.0,0.0
5673,5673,"COOKIES,CHOC CHIP,COMMLY PREP,REG,HIGHER FAT,ENR",65.36,492,24.72,0.0,311.0,5.1,2.0,32.9
2205,2205,"FIGS,DRIED,UNCOOKED",63.87,249,0.93,0.0,10.0,3.3,9.8,47.92
1763,1763,"KIELBASA,FULLY CKD,GRILLED",5.03,337,29.68,73.0,1062.0,12.45,0.0,2.39
8191,8191,"PEPPERIDGE FARM,LT STYLE WHEAT BREAD",45.6,256,1.9,1.0,378.0,0.01,7.5,4.4
2931,2931,"CORN,SWT,YEL,RAW",18.7,86,1.35,0.0,15.0,3.27,2.0,6.26
8275,8275,"INF FORMULA,GERBER GOOD START 2,GENTLE PLUS,PDR",57.1,492,25.1,0.0,133.0,10.8,0.0,57.1
4572,4572,"SEA BASS,MXD SP,RAW",0.0,97,2.0,41.0,68.0,18.43,0.0,0.0
7667,7667,"BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,CHOIC,RAW",0.0,158,7.07,66.0,57.0,22.17,0.0,0.0
1270,1270,"SAUCE,TERIYAKI,RTS",15.56,89,0.02,0.0,3833.0,5.93,0.1,14.1
5874,5874,"PIE CRUST,STANDARD-TYPE,PREP FROM RECIPE,UNBAKED",42.3,469,30.8,0.0,482.0,5.7,3.4,0.15
5207,5207,"VEAL,LOIN,LN,CKD,RSTD",0.0,175,6.94,106.0,96.0,26.32,0.0,0.0
3465,3465,"RUTABAGAS,CKD,BLD,DRND,W/SALT",6.84,30,0.18,0.0,254.0,0.93,1.8,3.95
640,640,"SALAD DRSNG,1000 ISLAND,COMM,REG",14.64,379,35.06,26.0,962.0,1.09,0.8,15.18
1246,1246,"SOUP,CRM OF POTATO,CND,COND",12.79,74,1.88,1.0,604.0,1.51,1.3,1.44
8597,8597,"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,FAT-FREE",25.6,115,1.01,2.0,814.0,1.52,1.8,7.44
5026,5026,"LOMA LINDA LINKETTS,CND,UNPREP",4.4,209,11.8,0.0,401.0,21.3,3.0,0.3
1507,1507,CAMPBELL'S HOMESTYLE MEXICAN STYLE CHICK TORTILLA SOUP,8.16,53,0.82,4.0,347.0,2.86,1.2,1.63
494,494,"BABYFOOD,VEG,GARDEN VEG,STR",6.8,32,0.2,0.0,31.0,2.3,1.5,2.57
5526,5526,"VEAL,FORESHANK,OSSO BUCO,LN,CKD,BRSD",0.0,157,4.51,92.0,90.0,29.12,0.0,0.0
3224,3224,"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC",3.47,16,0.25,0.0,115.0,0.79,1.9,2.55
5487,5487,"LAMB,NZ,IMP,HIND-SHANK,LN,CKD,BRSD",0.0,196,7.37,115.0,72.0,32.5,0.0,0.0
6826,6826,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THIN CRUST",31.2,302,13.95,28.0,742.0,12.85,2.5,3.61
4057,4057,"BEEF,SHRT LOIN,PRTRHS STK,LN & FAT,1/8"" FAT,CHOIC,CKD,GRILLD",0.0,284,19.78,85.0,63.0,24.85,0.0,0.0
7046,7046,"BURRITO,BF & BEAN,MICROWAVED",38.95,298,11.94,9.0,659.0,8.73,6.9,1.36
1159,1159,"TURKEY,WHL,MEAT ONLY,W/ ADDED SOLN,RAW",0.14,105,2.39,61.0,194.0,20.87,0.0,0.06
7730,7730,"SNACKS,GRANOLA BITES,MXD FLAVORS",66.27,451,17.5,0.0,167.0,7.17,5.7,30.0
3474,3474,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,W/SALT",3.3,16,0.17,0.0,237.0,1.03,1.9,1.5
3306,3306,"SEAWEED,WAKAME,RAW",9.14,45,0.64,0.0,872.0,3.03,0.5,0.65
5481,5481,"LAMB,NZ,IMP,TENDERLOIN,LN,CKD,FAST FRIED",0.0,155,4.81,94.0,59.0,27.94,0.0,0.0
4007,4007,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,SEL,RAW",0.0,246,18.0,85.0,49.0,19.56,0.0,0.0
5496,5496,"LAMB,NZ,IMP,SQUARE-CUT SHLDR,LN,CKD,SLOW RSTD",0.0,192,10.13,71.0,80.0,25.08,0.0,0.0
1783,1783,"CEREALS RTE,POST,COCOA PEBBLES",85.7,397,4.1,0.0,594.0,4.8,1.6,35.8
1005,1005,"TURKEY FROM WHL,LT MEAT,RAW",0.14,114,1.48,57.0,113.0,23.66,0.0,0.05
1660,1660,"PASTRAMI,TURKEY",3.34,139,6.21,68.0,1123.0,16.3,0.1,3.34
3079,3079,"POTATOES,FLESH & SKN,RAW",17.49,77,0.09,0.0,6.0,2.05,2.1,0.82
7975,7975,"KELLOGG'S,POP-TARTS,FRSTD SPRING BERRY TOASTER PASTRIES",72.3,390,9.6,0.0,321.0,4.0,1.3,31.3
1606,1606,"CAMPBELL'S HEALTHY REQUEST,CHICK NOODLE SOUP,COND",6.51,47,1.3,10.0,334.0,2.4,1.0,0.89
8052,8052,"SUNSHINE,CHEEZ-IT,100 CAL RIGHT BITES,EX CHEESY PARTY MIX",65.3,473,17.4,3.0,1338.0,8.5,3.1,2.7
4244,4244,"BEVERAGES,CARB,LIMEADE,HI CAFFEINE",4.16,18,0.11,0.0,40.0,0.0,0.0,3.97
525,525,"INF FORMULA,MEAD JOHNSON,ENFAMILLIPIL,W/IRN,PDR,W/ ARA & DHA",56.2,511,27.0,17.0,139.0,10.8,0.0,56.0
7506,7506,"BEEF,NZ,IMP,OYSTER BLADE,LN,CKD,BRSD",0.0,196,8.46,87.0,25.0,29.87,0.0,0.0
3634,3634,ALMONDS,21.55,579,49.93,0.0,1.0,21.15,12.5,4.35
6459,6459,"SYRUP,MAPLE,CANADIAN",67.38,270,0.0,0.0,9.0,0.0,0.0,59.92
7686,7686,"BEEF,BTTM SIRLOIN,TRI-TIP RST,LN,0"" FAT,SEL,CKD,RSTD",0.0,179,6.95,76.0,58.0,27.17,0.0,0.0
4144,4144,"BEVERAGES,ABBOTT,EAS WHEY PROT PDR",17.95,385,5.13,205.0,385.0,66.67,0.0,5.13
3914,3914,"BEEF,SHRT LN,T-BN STK,BN-IN,LN,1/8"" FAT,ALL GRDS,CKD,GRILLED",0.0,212,10.37,82.0,67.0,27.86,0.0,0.0
4362,4362,"BEVERAGES,TEA,INST,DECAFFEINATED,UNSWTND",58.66,315,0.0,0.0,72.0,20.21,8.5,5.53
3827,3827,"BEEF,BRISKET,WHL,LN,0""FAT,ALL GRDS,CKD,BRSD",0.0,218,10.08,93.0,70.0,29.75,0.0,0.0
3871,3871,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",0.0,188,8.21,78.0,35.0,26.79,0.0,0.0
7618,7618,"BEEF,GROUND,80% LN MEAT / 20% FAT,CRUMBLES,CKD,PAN-BROWNED",0.0,272,17.36,89.0,91.0,27.0,0.0,0.0
4942,4942,SILK BLUEBERRY SOY YOGURT,17.06,88,1.18,0.0,15.0,2.35,0.6,12.35
8737,8737,"BABYFOOD,MEAT,BF W/ VEG,TODD",8.72,68,2.1,12.0,26.0,3.5,1.8,1.18
5039,5039,"WORTHINGTON VEGETARIAN BURGER,CND,UNPREP",6.2,124,2.9,0.0,451.0,18.6,2.7,0.6
8123,8123,"ROLLS,HAMBURGER,WHL GRAIN WHITE,CALCIUM-FORTIFIED",46.5,255,3.49,0.0,512.0,9.3,2.3,9.3
1954,1954,"CEREALS,QUAKER,INST OATMEAL,CINNAMON-SPICE,DRY",74.52,369,5.1,0.0,416.0,10.39,8.2,21.14
469,469,"BABYFOOD,DSSRT,DUTCH APPL,STR",19.74,75,0.4,0.0,0.0,0.2,1.4,17.89
